Currency Pair,Height,Price
vETH/VRSC,2772650,2864.1806819547473
vETH/VRSC,2772680,2923.1773069801966
vETH/VRSC,2772710,2868.1603932196417
vETH/VRSC,2772740,2881.7074414670087
vETH/VRSC,2772770,2881.7074414670087
vETH/VRSC,2772800,2881.7074414670087
vETH/VRSC,2772830,2881.7074414670087
vETH/VRSC,2772860,2881.7074414670087
vETH/VRSC,2772890,2881.7074414670087
vETH/VRSC,2772920,2881.62467070979
vETH/VRSC,2772950,2888.358485962503
vETH/VRSC,2772980,2889.858435972576
vETH/VRSC,2773010,2886.950813474725
vETH/VRSC,2773040,2886.9521121127705
vETH/VRSC,2773070,2888.4248865653976
vETH/VRSC,2773100,2888.419658440487
vETH/VRSC,2773130,2888.419658440487
vETH/VRSC,2773160,2888.419658440487
vETH/VRSC,2773190,2888.419658440487
vETH/VRSC,2773220,2886.2051303800586
vETH/VRSC,2773250,2886.2051303800586
vETH/VRSC,2773280,2886.2051303800586
vETH/VRSC,2773310,2889.8970522597515
vETH/VRSC,2773340,2889.8970522597515
vETH/VRSC,2773370,2870.406388070943
vETH/VRSC,2773400,2871.3265624744113
vETH/VRSC,2773430,2871.3265624744113
vETH/VRSC,2773460,2871.3265624744113
vETH/VRSC,2773490,2871.3265624744113
vETH/VRSC,2773520,2871.3265624744113
vETH/VRSC,2773550,2871.3265624744113
vETH/VRSC,2773580,2871.3265624744113
vETH/VRSC,2773610,2871.3265624744113
vETH/VRSC,2773640,2871.3265624744113
vETH/VRSC,2773670,2871.3265624744113
vETH/VRSC,2773700,2871.3265624744113
vETH/VRSC,2773730,2871.3265624744113
vETH/VRSC,2773760,2872.604266392872
vETH/VRSC,2773790,2863.372599856598
vETH/VRSC,2773820,2860.8971035775494
vETH/VRSC,2773850,2860.8971035775494
vETH/VRSC,2773880,2860.944403728214
vETH/VRSC,2773910,2860.944403728214
vETH/VRSC,2773940,2868.742731005543
vETH/VRSC,2773970,2892.507327166838
vETH/VRSC,2774000,2895.2523101052366
vETH/VRSC,2774030,2895.2523101052366
vETH/VRSC,2774060,2895.2523101052366
vETH/VRSC,2774090,2895.401887020088
vETH/VRSC,2774120,2892.3450150279323
vETH/VRSC,2774150,2892.345025987227
vETH/VRSC,2774180,2892.345025987227
vETH/VRSC,2774210,2892.345025987227
vETH/VRSC,2774240,2892.345025987227
vETH/VRSC,2774270,2894.993577455828
vETH/VRSC,2774300,2898.8071089670234
vETH/VRSC,2774330,2898.8071089670234
vETH/VRSC,2774360,2898.8071089670234
vETH/VRSC,2774390,2898.7179153666525
vETH/VRSC,2774420,2910.2586445823795
vETH/VRSC,2774450,2910.2586445823795
vETH/VRSC,2774480,2910.2586445823795
vETH/VRSC,2774510,2910.2586445823795
vETH/VRSC,2774540,2910.2586445823795
vETH/VRSC,2774570,2910.2586445823795
vETH/VRSC,2774600,2910.2586445823795
vETH/VRSC,2774630,2910.2586445823795
vETH/VRSC,2774660,2910.2586445823795
vETH/VRSC,2774690,2910.2586445823795
vETH/VRSC,2774720,2910.0868605778765
vETH/VRSC,2774750,2910.0810686090567
vETH/VRSC,2774780,2918.466292352265
vETH/VRSC,2774810,2918.466292352265
vETH/VRSC,2774840,2932.8809732233385
vETH/VRSC,2774870,2932.8809732233385
vETH/VRSC,2774900,2932.8809732233385
vETH/VRSC,2774930,2932.8809732233385
vETH/VRSC,2774960,2932.8809732233385
vETH/VRSC,2774990,2932.8809732233385
vETH/VRSC,2775020,2988.854249663308
vETH/VRSC,2775050,2988.8358607604587
vETH/VRSC,2775080,2988.8358607604587
vETH/VRSC,2775110,2988.8358607604587
vETH/VRSC,2775140,2988.8358607604587
vETH/VRSC,2775170,2988.8358607604587
vETH/VRSC,2775200,2988.8358607604587
vETH/VRSC,2775230,2988.8358607604587
vETH/VRSC,2775260,2988.8358607604587
vETH/VRSC,2775290,2988.8358607604587
vETH/VRSC,2775320,2967.008055248805
vETH/VRSC,2775350,2938.618432010482
vETH/VRSC,2775380,2930.1570881757025
vETH/VRSC,2775410,3105.6329502412405
vETH/VRSC,2775440,3089.7465891494694
vETH/VRSC,2775470,3091.471591821329
vETH/VRSC,2775500,3074.932586513365
vETH/VRSC,2775530,3075.069907745964
vETH/VRSC,2775560,3027.530302646788
vETH/VRSC,2775590,3027.5614435738353
vETH/VRSC,2775620,3024.2663951715876
